Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Economy Code
Cambodia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",29,,2022,%,6.1.1,CAM
"China, People's Republic of","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,PRC
Cook Islands,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,COO
Fiji,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",42,,2022,%,6.1.1,FIJ
Georgia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",69,,2022,%,6.1.1,GEO
"Hong Kong, China","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",100,,2022,%,6.1.1,HKG
India,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,IND
Indonesia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",30,,2022,%,6.1.1,INO
Kazakhstan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",89,,2021,%,6.1.1,KAZ
Kiribati,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",14,,2022,%,6.1.1,KIR
"Korea, Republic of","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",99,,2022,%,6.1.1,KOR
Kyrgyz Republic,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",76,,2022,%,6.1.1,KGZ
Lao People's Democratic Republic,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",18,,2022,%,6.1.1,LAO
Malaysia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",94,,2022,%,6.1.1,MAL
Maldives,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,MLD
Marshall Islands,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,RMI
"Micronesia, Federated States of","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,FSM
Mongolia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",39,,2022,%,6.1.1,MON
Myanmar,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",57,,2022,%,6.1.1,MYA
Nauru,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,NAU
Nepal,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",16,,2022,%,6.1.1,NEP
Niue,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",94,,2022,%,6.1.1,NIU
Pakistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",51,,2022,%,6.1.1,PAK
Palau,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",90,,2022,%,6.1.1,PAL
Papua New Guinea,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,PNG
Philippines,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",48,,2022,%,6.1.1,PHI
Samoa,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",62,,2022,%,6.1.1,SAM
Singapore,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",100,,2022,%,6.1.1,SIN
Solomon Islands,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,SOL
Sri Lanka,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",47,,2022,%,6.1.1,SRI
"Taipei,China","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,TAP
Tajikistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",55,,2022,%,6.1.1,TAJ
Thailand,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,THA
Timor-Leste,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,TIM
Tonga,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",30,,2022,%,6.1.1,TON
Turkmenistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",95,,2022,%,6.1.1,TKM
Tuvalu,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",9,,2022,%,6.1.1,TUV
Uzbekistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",80,,2022,%,6.1.1,UZB
Vanuatu,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",,,,%,6.1.1,VAN
Viet Nam,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Total",58,,2022,%,6.1.1,VIE
Afghanistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",36,,2022,%,6.1.1,AFG
Armenia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,ARM
Azerbaijan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",92,,2022,%,6.1.1,AZE
Bangladesh,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",54,,2022,%,6.1.1,BAN
Bhutan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",59,,2022,%,6.1.1,BHU
Brunei Darussalam,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,BRU
Cambodia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",58,,2022,%,6.1.1,CAM
"China, People's Republic of","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",98,,2022,%,6.1.1,PRC
Cook Islands,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,COO
Fiji,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",53,,2022,%,6.1.1,FIJ
Georgia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",88,,2022,%,6.1.1,GEO
"Hong Kong, China","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",100,,2022,%,6.1.1,HKG
India,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,IND
Indonesia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",35,,2022,%,6.1.1,INO
Kazakhstan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,KAZ
Kiribati,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",20,,2022,%,6.1.1,KIR
"Korea, Republic of","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,KOR
Kyrgyz Republic,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",92,,2022,%,6.1.1,KGZ
Lao People's Democratic Republic,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",27,,2022,%,6.1.1,LAO
Malaysia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,MAL
Maldives,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,MLD
Marshall Islands,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,RMI
"Micronesia, Federated States of","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,FSM
Mongolia,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",51,,2022,%,6.1.1,MON
Myanmar,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",72,,2022,%,6.1.1,MYA
Nauru,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,NAU
Nepal,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",23,,2022,%,6.1.1,NEP
Niue,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,NIU
Pakistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",57,,2022,%,6.1.1,PAK
Palau,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",98,,2022,%,6.1.1,PAL
Papua New Guinea,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,PNG
Philippines,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",62,,2022,%,6.1.1,PHI
Samoa,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",90,,2022,%,6.1.1,SAM
Singapore,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",100,,2022,%,6.1.1,SIN
Solomon Islands,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,SOL
Sri Lanka,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",83,,2022,%,6.1.1,SRI
"Taipei,China","6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,TAP
Tajikistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,TAJ
Thailand,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,THA
Timor-Leste,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",,,,%,6.1.1,TIM
Tonga,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",51,,2022,%,6.1.1,TON
Turkmenistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",97,,2022,%,6.1.1,TKM
Tuvalu,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",11,,2022,%,6.1.1,TUV
Uzbekistan,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",89,,2022,%,6.1.1,UZB
Vanuatu,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",56,,2022,%,6.1.1,VAN
Viet Nam,"6.1.1 – Proportion of Population Using Safely Managed Drinking Water Services, Urban",76,,2022,%,6.1.1,VIE
Afghanistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,AFG
Armenia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,ARM
Azerbaijan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,AZE
Bangladesh,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",32,,2022,%,6.2.1a,BAN
Bhutan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",58,,2022,%,6.2.1a,BHU
Brunei Darussalam,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,BRU
Cambodia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",34,,2022,%,6.2.1a,CAM
"China, People's Republic of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",37,,2022,%,6.2.1a,PRC
Cook Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,COO
Fiji,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",57,,2022,%,6.2.1a,FIJ
Georgia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",39,,2022,%,6.2.1a,GEO
"Hong Kong, China","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,HKG
India,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",57,,2022,%,6.2.1a,IND
Indonesia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,INO
Kazakhstan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,KAZ
Kiribati,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",25,,2022,%,6.2.1a,KIR
"Korea, Republic of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,KOR
Kyrgyz Republic,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",96,,2022,%,6.2.1a,KGZ
Lao People's Democratic Republic,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",60,,2022,%,6.2.1a,LAO
Malaysia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,MAL
Maldives,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,MLD
Marshall Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,RMI
"Micronesia, Federated States of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,FSM
Mongolia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",56,,2022,%,6.2.1a,MON
Myanmar,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",64,,2022,%,6.2.1a,MYA
Nauru,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,NAU
Nepal,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",52,,2022,%,6.2.1a,NEP
Niue,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,NIU
Pakistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",40,,2022,%,6.2.1a,PAK
Palau,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,PAL
Papua New Guinea,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,PNG
Philippines,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",69,,2022,%,6.2.1a,PHI
Samoa,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",44,,2022,%,6.2.1a,SAM
Singapore,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,SIN
Solomon Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,SOL
Sri Lanka,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,SRI
"Taipei,China","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,TAP
Tajikistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",59,,2022,%,6.2.1a,TAJ
Thailand,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",22,,2022,%,6.2.1a,THA
Timor-Leste,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,TIM
Tonga,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",35,,2022,%,6.2.1a,TON
Turkmenistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,TKM
Tuvalu,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",42,,2022,%,6.2.1a,TUV
Uzbekistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",86,,2022,%,6.2.1a,UZB
Vanuatu,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",,,,%,6.2.1a,VAN
Viet Nam,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Rural",45,,2022,%,6.2.1a,VIE
Afghanistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,AFG
Armenia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",11,,2022,%,6.2.1a,ARM
Azerbaijan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",69,,2019,%,6.2.1a,AZE
Bangladesh,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",31,,2022,%,6.2.1a,BAN
Bhutan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",51,,2022,%,6.2.1a,BHU
Brunei Darussalam,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,BRU
Cambodia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",37,,2022,%,6.2.1a,CAM
"China, People's Republic of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",67,,2022,%,6.2.1a,PRC
Cook Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,COO
Fiji,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",49,,2022,%,6.2.1a,FIJ
Georgia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",24,,2022,%,6.2.1a,GEO
"Hong Kong, China","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",97,,2022,%,6.2.1a,HKG
India,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",52,,2022,%,6.2.1a,IND
Indonesia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,INO
Kazakhstan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,KAZ
Kiribati,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",25,,2022,%,6.2.1a,KIR
"Korea, Republic of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",99,,2022,%,6.2.1a,KOR
Kyrgyz Republic,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",93,,2022,%,6.2.1a,KGZ
Lao People's Democratic Republic,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",61,,2022,%,6.2.1a,LAO
Malaysia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",86,,2022,%,6.2.1a,MAL
Maldives,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,MLD
Marshall Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,RMI
"Micronesia, Federated States of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,FSM
Mongolia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",66,,2022,%,6.2.1a,MON
Myanmar,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",61,,2022,%,6.2.1a,MYA
Nauru,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,NAU
Nepal,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",51,,2022,%,6.2.1a,NEP
Niue,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,NIU
Pakistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,PAK
Palau,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,PAL
Papua New Guinea,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,PNG
Philippines,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",63,,2022,%,6.2.1a,PHI
Samoa,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",43,,2022,%,6.2.1a,SAM
Singapore,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",100,,2022,%,6.2.1a,SIN
Solomon Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,SOL
Sri Lanka,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,SRI
"Taipei,China","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,TAP
Tajikistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,TAJ
Thailand,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",26,,2022,%,6.2.1a,THA
Timor-Leste,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,TIM
Tonga,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",32,,2022,%,6.2.1a,TON
Turkmenistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,TKM
Tuvalu,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",37,,2022,%,6.2.1a,TUV
Uzbekistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",75,,2022,%,6.2.1a,UZB
Vanuatu,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",,,,%,6.2.1a,VAN
Viet Nam,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Total",44,,2022,%,6.2.1a,VIE
Afghanistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,AFG
Armenia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",0,,2022,%,6.2.1a,ARM
Azerbaijan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",63,,2022,%,6.2.1a,AZE
Bangladesh,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",29,,2022,%,6.2.1a,BAN
Bhutan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",41,,2022,%,6.2.1a,BHU
Brunei Darussalam,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,BRU
Cambodia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",45,,2022,%,6.2.1a,CAM
"China, People's Republic of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",85,,2022,%,6.2.1a,PRC
Cook Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,COO
Fiji,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",43,,2022,%,6.2.1a,FIJ
Georgia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",14,,2022,%,6.2.1a,GEO
"Hong Kong, China","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",97,,2022,%,6.2.1a,HKG
India,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",43,,2022,%,6.2.1a,IND
Indonesia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,INO
Kazakhstan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",84,,2022,%,6.2.1a,KAZ
Kiribati,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",25,,2022,%,6.2.1a,KIR
"Korea, Republic of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,KOR
Kyrgyz Republic,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",86,,2022,%,6.2.1a,KGZ
Lao People's Democratic Republic,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",63,,2022,%,6.2.1a,LAO
Malaysia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,MAL
Maldives,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,MLD
Marshall Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,RMI
"Micronesia, Federated States of","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,FSM
Mongolia,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",70,,2022,%,6.2.1a,MON
Myanmar,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",53,,2022,%,6.2.1a,MYA
Nauru,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,NAU
Nepal,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",45,,2022,%,6.2.1a,NEP
Niue,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,NIU
Pakistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,PAK
Palau,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,PAL
Papua New Guinea,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",28,,2022,%,6.2.1a,PNG
Philippines,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",56,,2022,%,6.2.1a,PHI
Samoa,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",37,,2022,%,6.2.1a,SAM
Singapore,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",100,,2022,%,6.2.1a,SIN
Solomon Islands,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,SOL
Sri Lanka,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,SRI
"Taipei,China","6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,TAP
Tajikistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,TAJ
Thailand,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",30,,2022,%,6.2.1a,THA
Timor-Leste,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,TIM
Tonga,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",22,,2022,%,6.2.1a,TON
Turkmenistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",,,,%,6.2.1a,TKM
Tuvalu,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",35,,2022,%,6.2.1a,TUV
Uzbekistan,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",63,,2022,%,6.2.1a,UZB
Vanuatu,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",30,,2022,%,6.2.1a,VAN
Viet Nam,"6.2.1a – Proportion of Population Using Safely Managed Sanitation Services, Urban",41,,2022,%,6.2.1a,VIE
Afghanistan,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",44,,2022,%,6.2.1b,AFG
Armenia,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",90,,2022,%,6.2.1b,ARM
Azerbaijan,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",87,,2017,%,6.2.1b,AZE
Bangladesh,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",58,,2022,%,6.2.1b,BAN
Bhutan,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",96,,2022,%,6.2.1b,BHU
Brunei Darussalam,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",,,,%,6.2.1b,BRU
Cambodia,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",82,,2022,%,6.2.1b,CAM
"China, People's Republic of","6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",95,,2022,%,6.2.1b,PRC
Cook Islands,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",,,,%,6.2.1b,COO
Fiji,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",80,,2022,%,6.2.1b,FIJ
Georgia,"6.2.1b – Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",87,,2022,%,6.2.1b,GEO
